#Gaia EDR3 BP band
#From: https://www.cosmos.esa.int/web/gaia/edr3-passbands on 2021-04-09
# lambda         trans           trans-uncertainty
0.491   0.949003 0.000108174
0.492   0.947992 0.00010759
0.493   0.947416 0.00010701
0.494   0.947319 0.00010644
0.495   0.947689 0.000105877
0.496   0.947226 0.000105177
0.497   0.946625 0.000104419
0.498   0.946009 0.000103618
0.499   0.944675 0.000102699
0.5   0.9438 0.000101791
0.501   0.943558 0.000100912
0.502   0.944209 0.000100089
0.503   0.943525 9.90855e-05
0.504   0.942852 9.80469e-05
0.505   0.942792 9.7036e-05
0.506   0.942551 9.59705e-05
0.507   0.942901 9.49295e-05
0.508   0.942391 9.37674e-05
0.509   0.941403 9.25255e-05
0.51   0.941799 9.13872e-05
0.511   0.942277 9.02233e-05
0.512   0.941896 8.89452e-05
0.513   0.940893 8.75792e-05
0.514   0.941805 8.63616e-05
0.515   0.941883 8.50366e-05
0.516   0.941442 8.36365e-05
0.517   0.941289 8.22351e-05
0.518   0.940855 8.07828e-05
0.519   0.941013 7.93555e-05
0.52   0.941626 7.79397e-05
0.521   0.941471 7.64348e-05
0.522   0.940587 7.48484e-05
0.523   0.939417 7.32193e-05
0.524   0.938633 7.16011e-05
0.525   0.938123 6.99843e-05
0.526   0.937121 6.83125e-05
0.527   0.936046 6.6619e-05
0.528   0.934766 6.48958e-05
0.529   0.933205 6.31398e-05
0.53   0.931672 6.13736e-05
0.531   0.931151 5.96611e-05
0.532   0.930543 5.79294e-05
0.533   0.930045 5.61916e-05
0.534   0.929749 5.44533e-05
0.535   0.928493 5.26486e-05
0.536   0.927765 5.08652e-05
0.537   0.927048 4.90738e-05
0.538   0.926592 4.7288e-05
0.539   0.926704 4.55225e-05
0.54   0.92692 4.37532e-05
0.541   0.926902 4.1965e-05
0.542   0.926809 4.01676e-05
0.543   0.926292 3.83481e-05
0.544   0.926062 3.65382e-05
0.545   0.926601 3.47559e-05
0.546   0.927864 3.29965e-05
0.547   0.929203 3.1236e-05
0.548   0.929512 2.94408e-05
0.549   0.930093 2.76581e-05
0.55   0.930686 2.58818e-05
0.551   0.930664 2.40991e-05
0.552   0.930387 2.23264e-05
0.553   0.931678 2.06108e-05
0.554   0.931808 1.88953e-05
0.555   0.931079 1.72013e-05
0.556   0.930441 1.55621e-05
0.557   0.929553 1.39899e-05
0.558   0.928186 1.2508e-05
0.559   0.926585 1.11573e-05
0.56   0.925662 9.9984e-06
0.561   0.923761 9.07836e-06
0.562   0.922812 8.49162e-06
0.563   0.921059 8.28341e-06
0.564   0.919747 8.48551e-06
0.565   0.918118 9.05606e-06
0.566   0.916274 9.9238e-06
0.567   0.91519 1.10214e-05
0.568   0.913516 1.22676e-05
0.569   0.910857 1.36049e-05
0.57   0.90961 1.50331e-05
0.571   0.907311 1.64901e-05
0.572   0.905571 1.79852e-05
0.573   0.904528 1.95123e-05
0.574   0.904716 2.10782e-05
0.575   0.90465 2.26456e-05
0.576   0.905586 2.42418e-05
0.577   0.907335 2.58625e-05
0.578   0.910453 2.75255e-05
0.579   0.913012 2.91735e-05
0.58   0.916635 3.0856e-05
0.581   0.921415 3.25796e-05
0.582   0.925706 3.42872e-05
0.583   0.931849 3.60653e-05
0.584   0.937527 3.78279e-05
0.585   0.94276 3.95718e-05
0.586   0.946914 4.12659e-05
0.587   0.952274 4.30066e-05
0.588   0.955831 4.46577e-05
0.589   0.959134 4.62841e-05
0.59   0.961347 4.78419e-05
0.591   0.961502 4.92753e-05
0.592   0.960502 5.06219e-05
0.593   0.96111 5.20253e-05
0.594   0.96006 5.33102e-05
0.595   0.958381 5.45272e-05
0.596   0.957021 5.57285e-05
0.597   0.952632 5.67152e-05
0.598   0.948661 5.76846e-05
0.599   0.943487 5.85374e-05
0.6   0.93841 5.9351e-05
0.601   0.934336 6.0184e-05
0.602   0.927891 6.08184e-05
0.603   0.92339 6.15335e-05
0.604   0.92043 6.23083e-05
0.605   0.91714 6.30186e-05
0.606   0.915463 6.37986e-05
0.607   0.914039 6.45563e-05
0.608   0.914412 6.54025e-05
0.609   0.915315 6.62493e-05
0.61   0.916458 6.70762e-05
0.611   0.919243 6.79866e-05
0.612   0.921375 6.88118e-05
0.613   0.925263 6.97309e-05
0.614   0.929553 7.06435e-05
0.615   0.935007 7.16073e-05
0.616   0.940895 7.25667e-05
0.617   0.947118 7.35129e-05
0.618   0.953427 7.44258e-05
0.619   0.962008 7.54752e-05
0.62   0.970805 7.64997e-05
0.621   0.978169 7.73674e-05
0.622   0.985438 7.8181e-05
0.623   0.9897 7.87074e-05
0.624   0.992785 7.90891e-05
0.625   0.99622 7.94463e-05
0.626   0.998426 7.96521e-05
0.627   1 7.97527e-05
0.628   0.999826 7.96586e-05
0.629   0.9992 7.94726e-05
0.63   0.996716 7.90829e-05
0.631   0.994203 7.86352e-05
0.632   0.991225 7.80948e-05
0.633   0.985929 7.73172e-05
0.634   0.980088 7.64434e-05
0.635   0.972895 7.54121e-05
0.636   0.966168 7.43662e-05
0.637   0.957788 7.3144e-05
0.638   0.949322 7.18683e-05
0.639   0.93855 7.0374e-05
0.64   0.927666 6.88306e-05
0.641   0.916293 6.72127e-05
0.642   0.904944 6.55607e-05
0.643   0.892632 6.3806e-05
0.644   0.879247 6.19461e-05
0.645   0.86494 5.99974e-05
0.646   0.850764 5.80377e-05
0.647   0.837191 5.61013e-05
0.648   0.821814 5.40306e-05
0.649   0.805442 5.18881e-05
0.65   0.789732 4.97862e-05
0.651   0.77306 4.76259e-05
0.652   0.755228 4.54036e-05
0.653   0.736243 4.31297e-05
0.654   0.715024 4.07527e-05
0.655   0.691065 3.82609e-05
0.656   0.664297 3.56701e-05
0.657   0.633001 3.29115e-05
0.658   0.597567 3.0035e-05
0.659   0.556019 2.69737e-05
0.66   0.509973 2.38427e-05
0.661   0.458615 2.06358e-05
0.662   0.403895 1.74711e-05
0.663   0.34704 1.44202e-05
0.664   0.290792 1.16038e-05
0.665   0.236875 9.08153e-06
0.666   0.187267 6.90774e-06
0.667   0.14338 5.10212e-06
0.668   0.106152 3.65924e-06
0.669   0.0759605 2.55171e-06
0.67   0.052545 1.73361e-06
0.671   0.0352056 1.15179e-06
0.672   0.0228299 7.48805e-07
